url,domain,platform,niche,country,source
https://away.com,away.com,shopify,accessories,US,curated
https://bellroy.com,bellroy.com,shopify,accessories,AU,curated
https://camelbak.com,camelbak.com,bigcommerce,accessories,US,curated
https://givemetap.com,givemetap.com,shopify,accessories,UK,curated
https://hydroflask.com,hydroflask.com,shopify,accessories,US,curated
https://portlandleather.com,portlandleather.com,woocommerce,accessories,US,curated
https://ridge.com,ridge.com,shopify,accessories,US,curated
https://troubadourgoods.com,troubadourgoods.com,shopify,accessories,UK,curated
https://wandrd.com,wandrd.com,woocommerce,accessories,US,curated
https://zippo.com,zippo.com,prestashop,accessories,US,curated
https://artisaire.com,artisaire.com,shopify,art,CA,curated
https://creativefabrica.com,creativefabrica.com,woocommerce,art,NL,curated
https://tatlydesigns.com,tatlydesigns.com,shopify,art,US,curated
https://uppercasemagazine.com,uppercasemagazine.com,shopify,art,CA,curated
https://airstream.com,airstream.com,woocommerce,automotive,US,curated
https://ford.com,ford.com,magento,automotive,US,curated
https://landrover.com,landrover.com,magento,automotive,UK,curated
https://shop.mercedes-benz.com,shop.mercedes-benz.com,prestashop,automotive,DE,curated
https://speedhunters.com,speedhunters.com,woocommerce,automotive,US,curated
https://halosleepsack.com,halosleepsack.com,shopify,baby,US,curated
https://beardbrand.com,beardbrand.com,woocommerce,beauty,US,curated
https://beautybakerie.com,beautybakerie.com,shopify,beauty,US,curated
https://beneathyourmask.com,beneathyourmask.com,shopify,beauty,US,curated
https://biossance.com,biossance.com,shopify,beauty,US,curated
https://bliss.com,bliss.com,bigcommerce,beauty,US,curated
https://burts-bees.com,burts-bees.com,bigcommerce,beauty,US,curated
https://byredo.com,byredo.com,magento,beauty,SE,curated
https://caudalie.com,caudalie.com,shopify,beauty,FR,curated
https://cheekbonebeauty.com,cheekbonebeauty.com,shopify,beauty,CA,curated
https://colourpopcosmetics.com,colourpopcosmetics.com,shopify,beauty,US,curated
https://dollar-shave-club.com,dollar-shave-club.com,shopify,beauty,US,curated
https://drdennis.com,drdennis.com,shopify,beauty,US,curated
https://drunkelephant.com,drunkelephant.com,shopify,beauty,US,curated
https://fentybeauty.com,fentybeauty.com,shopify,beauty,US,curated
https://freshheritage.com,freshheritage.com,shopify,beauty,US,curated
https://ghd.com,ghd.com,magento,beauty,UK,curated
https://gillette.com,gillette.com,bigcommerce,beauty,US,curated
https://glossier.com,glossier.com,shopify,beauty,US,curated
https://goop.com,goop.com,shopify,beauty,US,curated
https://harrys.com,harrys.com,shopify,beauty,US,curated
https://hauslabs.com,hauslabs.com,shopify,beauty,US,curated
https://herbivore.com,herbivore.com,shopify,beauty,US,curated
https://iliabeauty.com,iliabeauty.com,shopify,beauty,US,curated
https://jeffreestarcosmetics.com,jeffreestarcosmetics.com,shopify,beauty,US,curated
https://kyliecosmetics.com,kyliecosmetics.com,shopify,beauty,US,curated
https://lovelyskin.com,lovelyskin.com,shopify,beauty,US,curated
https://manscaped.com,manscaped.com,shopify,beauty,US,curated
https://meowmeowtweet.com,meowmeowtweet.com,shopify,beauty,US,curated
https://milkmakeup.com,milkmakeup.com,shopify,beauty,US,curated
https://morphe.com,morphe.com,shopify,beauty,US,curated
https://native-cos.com,native-cos.com,shopify,beauty,US,curated
https://olehenriksen.com,olehenriksen.com,shopify,beauty,US,curated
https://packagefreeshop.com,packagefreeshop.com,shopify,beauty,US,curated
https://peachandlily.com,peachandlily.com,shopify,beauty,US,curated
https://satyaorganics.com,satyaorganics.com,shopify,beauty,CA,curated
https://sokoglam.com,sokoglam.com,shopify,beauty,US,curated
https://summerfridays.com,summerfridays.com,shopify,beauty,US,curated
https://sundayriley.com,sundayriley.com,shopify,beauty,US,curated
https://supergoop.com,supergoop.com,shopify,beauty,US,curated
https://tatcha.com,tatcha.com,shopify,beauty,US,curated
https://thehoneypot.co,thehoneypot.co,shopify,beauty,US,curated
https://thenimetyou.com,thenimetyou.com,shopify,beauty,US,curated
https://tofinosoapcompany.com,tofinosoapcompany.com,shopify,beauty,CA,curated
https://trueblotanicals.com,trueblotanicals.com,shopify,beauty,US,curated
https://youthtothepeople.com,youthtothepeople.com,shopify,beauty,US,curated
https://coca-cola.com,coca-cola.com,magento,beverages,US,curated
https://drinkmudwtr.com,drinkmudwtr.com,shopify,beverages,US,curated
https://olipop.com,olipop.com,shopify,beverages,US,curated
https://blkandbold.com,blkandbold.com,shopify,coffee,US,curated
https://bluebottlecoffee.com,bluebottlecoffee.com,shopify,coffee,US,curated
https://coffeebeandirect.com,coffeebeandirect.com,woocommerce,coffee,US,curated
https://counterculturecoffee.com,counterculturecoffee.com,shopify,coffee,US,curated
https://deathwishcoffee.com,deathwishcoffee.com,shopify,coffee,US,curated
https://drinktrade.com,drinktrade.com,shopify,coffee,US,curated
https://equator.com,equator.com,shopify,coffee,US,curated
https://intelligentsia.com,intelligentsia.com,shopify,coffee,US,curated
https://nespresso.com,nespresso.com,magento,coffee,CH,curated
https://peets.com,peets.com,shopify,coffee,US,curated
https://stumptown.com,stumptown.com,shopify,coffee,US,curated
https://vervecoffee.com,vervecoffee.com,shopify,coffee,US,curated
https://anker.com,anker.com,shopify,electronics,US,curated
https://boulanger.com,boulanger.com,prestashop,electronics,FR,curated
https://bruvi.com,bruvi.com,shopify,electronics,US,curated
https://canon.com,canon.com,magento,electronics,JP,curated
https://coolpc.com.tw,coolpc.com.tw,woocommerce,electronics,TW,curated
https://cowboy.com,cowboy.com,shopify,electronics,BE,curated
https://dbrand.com,dbrand.com,shopify,electronics,CA,curated
https://fnac.com,fnac.com,prestashop,electronics,FR,curated
https://ghosthardware.com,ghosthardware.com,squarespace,electronics,US,curated
https://hp.com,hp.com,magento,electronics,US,curated
https://itwist.com,itwist.com,joomla_virtuemart,electronics,US,curated
https://ldlc.com,ldlc.com,prestashop,electronics,FR,curated
https://lenovo.com,lenovo.com,magento,electronics,CN,curated
https://macway.com,macway.com,prestashop,electronics,FR,curated
https://moment.co,moment.co,shopify,electronics,US,curated
https://mycomputerworks.com,mycomputerworks.com,opencart,electronics,US,curated
https://nativeunion.com,nativeunion.com,shopify,electronics,US,curated
https://nomadgoods.com,nomadgoods.com,shopify,electronics,US,curated
https://overclockers.co.uk,overclockers.co.uk,woocommerce,electronics,UK,curated
https://peak-design.com,peak-design.com,shopify,electronics,US,curated
https://pelacase.ca,pelacase.ca,shopify,electronics,CA,curated
https://rue-du-commerce.fr,rue-du-commerce.fr,prestashop,electronics,FR,curated
https://sigma-global.com,sigma-global.com,magento,electronics,JP,curated
https://skullcandy.com,skullcandy.com,bigcommerce,electronics,US,curated
https://techport.ru,techport.ru,opencart,electronics,RU,curated
https://twelve-south.com,twelve-south.com,shopify,electronics,US,curated
https://vizio.com,vizio.com,magento,electronics,US,curated
