url,domain,platform,niche,country,source,verified_status,http_status,verified_ecommerce
https://4gltemall.com,4gltemall.com,magento,general,,majestic_filtered,active,200,yes
https://a-9you-home.com,a-9you-home.com,unknown,home,,majestic_filtered,connection_error,0,
https://adressa.no,adressa.no,unknown,fashion,,majestic_filtered,active,200,
https://alcraftmotor.com,alcraftmotor.com,unknown,automotive,,majestic_filtered,connection_error,0,
https://altera-auto.ru,altera-auto.ru,unknown,automotive,,majestic_filtered,active,200,yes
https://apelectric.com,apelectric.com,unknown,general,,majestic_filtered,connection_error,0,
https://ara-shoes.com,ara-shoes.com,unknown,shoes,,majestic_filtered,active,200,yes
https://arcadeheroes.com,arcadeheroes.com,unknown,general,,majestic_filtered,active,200,
https://articlessubmissionservice.com,articlessubmissionservice.com,woocommerce,art,,majestic_filtered,active,200,yes
https://artikel-presse.de,artikel-presse.de,unknown,art,,majestic_filtered,connection_error,0,
https://artknowledgenews.com,artknowledgenews.com,unknown,art,,majestic_filtered,inactive,415,
https://artognosia.com,artognosia.com,unknown,art,,majestic_filtered,active,200,yes
https://autoglym.com,autoglym.com,unknown,automotive,,majestic_filtered,connection_error,0,
https://autozin.com,autozin.com,unknown,automotive,,majestic_filtered,connection_error,0,
https://azur-camping.com,azur-camping.com,unknown,sports,,majestic_filtered,connection_error,0,
https://babyspot.com,babyspot.com,unknown,baby,,generated_pattern,active,200,
https://baltimorebaseball.com,baltimorebaseball.com,unknown,general,,majestic_filtered,active,200,yes
https://barcelonawinebar.com,barcelonawinebar.com,shopify,wine,,majestic_filtered,active,200,
https://beartai.com,beartai.com,unknown,art,,majestic_filtered,active,200,
https://bepartofagreatteam.com,bepartofagreatteam.com,unknown,art,,majestic_filtered,connection_error,0,
https://blog44how.shop,blog44how.shop,unknown,general,,majestic_filtered,timeout,0,
https://blog44me.shop,blog44me.shop,unknown,general,,majestic_filtered,connection_error,0,
https://bookyards.com,bookyards.com,unknown,books,,majestic_filtered,connection_error,0,
https://bqb-express.com,bqb-express.com,unknown,general,,majestic_filtered,connection_error,0,
https://brightpokermarket.com,brightpokermarket.com,unknown,general,,majestic_filtered,active,200,
https://budesonide.store,budesonide.store,unknown,general,,majestic_filtered,timeout,0,
https://campdudomaine.com,campdudomaine.com,unknown,sports,,majestic_filtered,active,200,
https://camping-usa.com,camping-usa.com,unknown,sports,,majestic_filtered,active,200,
https://cardcow.com,cardcow.com,unknown,automotive,,majestic_filtered,active,200,
